,Categoria,altoEllipse,anchoEllipse,average_azul,average_gray,average_recorte,average_rojo,average_verde,eccetricity,m00,m01,m02,m03,m10,m11,m12,m20,m21,m30,max_azul,max_gray,max_recorte,max_rojo,max_verde,mean_gray,mean_recorte,mean_rojo,median_azul,median_gray,median_recorte,median_rojo,median_verde,min_azul,min_gray,min_recorte,min_rojo,min_verde,mu02,mu03,mu11,mu12,mu20,mu21,mu30,nu02,nu03,nu11,nu12,nu20,nu21,nu30,percentile_azul,percentile_gray,percentile_recorte,percentile_rojo,percentile_verde,ptp_azul,ptp_gray,ptp_recorte,ptp_rojo,ptp_verde,rel_aspecto,rel_frame,rotation,rotationEllipse,std_azul,std_gray,std_recorte,std_rojo,std_verde,var_azul,var_gray,var_recorte,var_rojo,var_verde,xcentroEllipse,ycentroEllipse
0,No_Emisor,37.92547607421875,32.84930419921875,204.57559523809525,169.5282738095238,176.40426587301587,154.00446428571428,170.6327380952381,0.8661540367992713,970.5,671946.1666666666,465323251.0833333,322296957663.25,1079896.3333333333,747686850.5416666,517772234341.39996,1201689474.5833333,832010298229.1666,1337291564270.2002,255.0,255.0,255.0,255.0,255.0,169.5282738095238,176.40426587301587,154.00446428571428,238.0,164.0,189.0,147.0,169.0,54.0,49.0,45.0,45.0,46.0,87134.7535777688,-79486.2777709961,-2177.3622201681137,7119.099040597677,65475.87464952469,62970.02617955953,-8858.81884765625,0.09251248096833806,-0.0027089644810345858,-0.0023117432790430675,0.00024262535595777498,0.06951687310383217,0.002146075638133471,-0.0003019165857956086,255.0,240.0,254.0,229.0,245.0,201.0,206.0,210.0,210.0,209.0,1.0714285714285714,0.12708333333333333,-84.0,5.50790548324585,61.37652335130519,57.00628441230368,62.24102186846629,53.44395967093239,60.57899407761089,3767.077618693311,3249.716462496457,3873.944803230899,2856.2568253082477,3669.8145234552153,1112.7103271484375,692.396484375
1,No_Emisor,44.30983352661133,36.75458526611328,135.1540534471143,110.95620929710307,114.65641140803952,93.7493824388053,115.06579833819897,0.8294904841842712,1278.0,819280.0,525319586.3333333,336902726933.0,200966.3333333333,128828591.41666666,82602048932.53333,31758557.333333332,20358095412.833332,5043295514.1,255.0,255.0,255.0,255.0,255.0,110.95620929710307,114.65641140803952,93.7493824388053,122.0,90.0,105.0,70.0,96.0,65.0,34.0,9.0,9.0,39.0,108539.07198739052,5123.165100097656,-3722.8034689724445,-25446.763478260487,156470.37445661798,-6727.798574864864,31528.10929298401,0.06645450025065483,8.774274503552647e-05,-0.002279336275242055,-0.000435818256142047,0.09580108202652936,-0.00011522476896040178,0.0005399714436479466,235.0,240.0,238.0,236.8800000000001,243.0,190.0,221.0,246.0,246.0,216.0,0.8356164383561644,0.14175347222222223,-4.0,85.7724838256836,42.04996418353234,53.31102351407991,55.17625497290487,61.8526503110874,51.786897117147184,1768.1994878363528,2842.0652281187813,3044.41911283501,3825.7503505056607,2681.882713021987,157.24282836914062,641.0652465820312
2,No_Emisor,36.848934173583984,31.061588287353516,144.9588556734169,113.19543555126968,118.16886317368477,91.4079074252652,118.13982642237222,0.8429440086660834,897.5,570912.3333333333,363219759.0833333,231118409336.2,194799.3333333333,123912989.95833333,78833591828.48334,42356475.08333333,26942862891.983334,9226287141.7,255.0,255.0,255.0,255.0,255.0,113.19543555126968,118.16886317368477,91.4079074252652,135.0,92.0,110.0,66.0,98.0,75.0,62.0,26.0,26.0,65.0,54419.41524296999,-5818.905303955078,-1597.144854530692,6019.529432835057,75939.96677499264,8545.359128676355,-7252.044315338135,0.06755927125701382,-0.0002411321655607784,-0.001982783938089484,0.00024944591671044783,0.09427607392865375,0.00035411487978533415,-0.0003005206407658214,223.39999999999964,222.0,223.0,218.0,225.0,180.0,193.0,229.0,229.0,190.0,0.8360655737704918,0.11848958333333333,-4.0,85.71744537353516,36.3970864952722,49.04934629498696,52.9763667356719,57.971954129549836,47.95975013234281,1324.7479053443258,2405.838371965551,2806.4954325124045,3360.7474655986302,2300.1376327567564,217.05699157714844,636.1071166992188
3,No_Emisor,98.53052520751953,71.200439453125,164.3873210633947,147.9293796864349,152.85250321896538,150.99486480345377,143.1753237900477,0.7226231597077817,4850.0,2282692.6666666665,1076158892.6666665,508175850341.4,4173938.333333333,1965116048.9166665,926730360691.4333,3594804818.6666665,1693002859461.1333,3098349808656.3003,255.0,255.0,255.0,255.0,255.0,147.9293796864349,152.85250321896538,150.99486480345377,182.0,162.0,165.0,162.0,156.0,46.0,37.0,30.0,30.0,34.0,1790684.325681448,-12845826.726989746,617404.6653492451,557585.6872262955,2689105.1678123474,15516024.399862051,11261899.8515625,0.07612644598496963,-0.007841654673467603,0.026247408453576156,0.00034037469934964157,0.11432055129396737,0.009471660161286304,0.006874756407665165,255.0,247.0,253.0,254.0,242.0,209.0,218.0,225.0,225.0,221.0,0.8282208588957055,0.31484375,25.0,115.46017456054688,67.5985966809729,64.27169814019076,66.39897800186108,65.84577093204399,63.96160075636341,4569.570273236841,4130.8511818238,4408.824279691632,4335.66554963521,4091.0863713164285,859.8323974609375,469.96331787109375
4,No_Emisor,29.796876907348633,29.07024574279785,168.1528,165.33,165.3392,160.7792,167.0856,0.9756138481623362,679.5,184341.66666666666,50046874.75,13597189539.800001,365969.8333333333,99283100.70833333,26954097900.4,197143423.91666666,53482084473.433334,106218565821.95001,255.0,255.0,255.0,255.0,255.0,165.33,165.3392,160.7792,163.0,154.0,157.0,151.0,157.0,112.0,120.0,91.0,91.0,118.0,36793.70593165606,1123.2856750488281,-915.5188761949539,954.7624763287604,36847.154300540686,-1225.7431968450546,-605.3958740234375,0.07968830895256611,9.332899040019344e-05,-0.001982843239374825,7.932712039960662e-05,0.07980406815715942,-0.00010184174657660597,-5.029974740182997e-05,253.0,236.0,235.0599999999995,211.0,250.0,143.0,135.0,164.0,164.0,137.0,1.0,0.10850694444444445,-44.0,45.906375885009766,36.640565663755794,31.309696581091295,33.38745288318153,28.23040997506058,34.24790610592128,1342.53105216,980.2971,1114.7220100266666,796.9560473600001,1172.91907264,538.5859985351562,271.29327392578125
5,No_Emisor,135.6337127685547,44.39015197753906,201.7737213940439,198.03748774634082,198.47967864426641,194.67542169489235,198.98989284386303,0.32727963477108674,4247.5,969970.3333333333,224826857.41666666,52863191165.0,3120570.5,714992797.7916666,166268042099.7,2295107689.25,527608495831.8333,1689819244917.35,255.0,255.0,255.0,255.0,255.0,198.03748774634082,198.47967864426641,194.67542169489235,224.0,213.0,210.0,203.0,213.0,71.0,83.0,69.0,69.0,80.0,3321866.8229579628,3954821.306793213,2371065.460844636,8410511.006114483,2474317.7443499565,7666111.037469983,4550316.2890625,0.184126137167303,0.0033635152138241043,0.131424631854261,0.007153011357683648,0.13714775235510313,0.006519910535807026,0.00386997461546083,255.0,243.0,255.0,241.0,255.0,184.0,172.0,186.0,186.0,175.0,1.0116959064327486,0.37387152777777777,50.0,140.3926544189453,47.48976739610008,40.689880936717735,42.76064889341881,37.27909657497867,42.60078432931427,2255.2780073356903,1655.6664106442656,1828.4730937862391,1389.731041446586,1814.8268254727484,734.1132202148438,227.19287109375
6,No_Emisor,140.55165100097656,77.10865783691406,207.45233616957753,206.95199283475145,206.89816390506044,205.92981041946558,207.31234512613824,0.5486143868660661,6938.0,1539413.5,344110363.8333333,77457493059.15001,4246770.333333333,941466947.4166666,210287222991.98334,2608529480.6666665,577814661950.7167,1607781268821.7002,255.0,255.0,255.0,255.0,255.0,206.95199283475145,206.89816390506044,205.92981041946558,229.0,222.0,221.0,213.0,223.0,110.0,122.0,91.0,91.0,119.0,2543064.3259464502,-22731023.352996826,-812611.8991063833,16857891.88971734,9068791.119230747,25162747.05863166,-9414125.73413086,0.05283099068433184,-0.005669349741376534,-0.016881638122027805,0.004204530677785007,0.18839996072844903,0.006275846507824246,-0.002347979255806117,255.0,246.0,253.0,249.0,250.0,145.0,133.0,164.0,164.0,136.0,0.6277056277056277,0.3818576388888889,-8.0,81.88047790527344,41.25009326291247,35.28808138731206,37.15685702258722,33.42233914126251,36.35734811647717,1701.570194198977,1245.2486879975602,1380.6320237969892,1117.052753673568,1321.8567620627061,614.4098510742188,220.81863403320312
7,Emisor,686.7138671875,157.13304138183594,200.74822499356216,191.84292020748262,193.13365706507744,185.12609719309862,193.52664900857152,0.22881879759526164,71539.0,4484447.0,393924907.1666666,40025996906.3,45467550.666666664,2852054557.833333,250753521791.13333,30586107641.833332,1895625300184.7666,21584220394089.402,255.0,255.0,255.0,255.0,255.0,191.84292020748262,193.13365706507744,185.12609719309862,204.0,198.0,198.0,192.0,199.0,49.0,42.0,22.0,22.0,40.0,112815793.31535476,1188883444.5495987,1905391.861187458,150495007.22764587,1688608884.1501083,-24097447660.09169,-1616965864.390625,0.022043683732746695,0.000868524585582509,0.0003723047486583535,0.00010994232814314778,0.3299463585427364,-0.017604102267995032,-0.0011812550790485353,255.0,255.0,255.0,255.0,255.0,206.0,213.0,233.0,233.0,215.0,0.23921200750469043,1.1869791666666667,0.0,90.10958862304688,48.54190913677252,54.871827317286744,54.94389569463875,60.211531947823566,54.336841991921894,2356.316942642679,3010.9174331381355,3018.8316741033423,3625.428579503778,2952.4923976550863,637.22216796875,64.1203384399414
8,No_Emisor,30.791614532470703,23.092453002929688,159.92105263157896,153.20846233230134,154.48520811833507,150.2512899896801,153.28328173374612,0.7499591480848783,556.0,325816.0,190946788.0,111916631032.0,107864.0,63208304.0,37043676872.0,20958372.0,12281605992.0,4078633496.0,253.0,253.0,255.0,255.0,252.0,153.20846233230134,154.48520811833507,150.2512899896801,154.0,144.0,148.0,142.0,144.0,88.0,80.0,76.0,76.0,80.0,18612.0,0.0,0.0,0.0,32756.0,0.0,0.0,0.060206511050152685,0.0,0.0,0.0,0.10595983644738886,0.0,0.0,233.0,229.0,229.0,226.77999999999997,230.0,165.0,173.0,179.0,179.0,172.0,0.7450980392156863,0.17881293911007023,0.0,90.0,36.90937302161367,38.612933162860074,38.55501528056837,39.43778409248421,38.63816615154334,1362.301816848623,1490.9586074394995,1486.4892032848602,1555.3388141254002,1492.9078835542691,194.0,586.0
9,No_Emisor,121.97796630859375,35.889835357666016,150.760547112462,146.43325227963527,147.15460992907802,143.92966565349545,146.7736170212766,0.29423211784715136,3115.0,1895960.5,1155075466.6666665,704364581929.8501,994517.6666666666,606517463.3333333,370233900073.98334,319461852.5,195207576321.11667,103243010414.70001,255.0,255.0,255.0,255.0,255.0,146.43325227963527,147.15460992907802,143.92966565349545,164.0,159.0,159.0,156.0,159.0,0.0,0.0,0.0,0.0,0.0,1089522.0245316029,-4227304.130737305,1199257.0565541983,-3803280.8771620393,1944873.5876048207,-262605.3879776001,7415415.68762207,0.11228452648800814,-0.00780581701918527,0.12359365639302379,-0.007022848056715368,0.2004357919768758,-0.00048490705740818733,0.013692740382196745,228.0,225.0,225.0,222.0,226.0,255.0,255.0,255.0,255.0,255.0,0.5371428571428571,0.5567110655737705,36.0,126.10246276855469,59.3548505634961,57.62531907803348,58.0815271482349,57.026895815858424,57.63486836680377,3522.9982854149534,3320.677398845169,3373.463795871148,3252.066846392771,3321.778051658798,320.76239013671875,610.0701904296875
10,No_Emisor,57.5445442199707,25.889339447021484,142.18954248366012,139.6983660130719,139.99651416122003,137.4738562091503,140.32614379084967,0.44990085155695175,1051.0,601879.5,344723657.3333333,197463728167.75,422715.3333333333,242088065.16666666,138660767972.08334,170223268.16666666,97490418551.41667,68629769287.0,255.0,254.0,255.0,254.0,255.0,139.6983660130719,139.99651416122003,137.4738562091503,173.5,167.0,168.0,165.0,167.0,0.0,0.0,0.0,0.0,0.0,43417.066682457924,11518.149017333984,10335.890738934278,47097.63442737609,205900.86399194598,-194019.00887545943,-164536.857131958,0.03930565578200448,0.00032164433215120763,0.009357126001999165,0.0013152015266079146,0.18640293100580754,-0.005417981173925704,-0.004594692033140306,231.0,229.0,229.0,225.0,230.0,255.0,254.0,255.0,254.0,255.0,0.6617647058823529,0.2295630854800937,3.0,92.67451477050781,76.90171994931731,73.78639589756575,74.53373283216706,72.88551526956535,73.67752228704768,5913.874531163227,5444.432219552308,5555.277329896859,5312.298336110043,5428.377290358409,403.0995178222656,572.489013671875
11,No_Emisor,37.08734893798828,23.195716857910156,78.79912280701754,78.72105263157894,77.37456140350878,70.38026315789473,82.94429824561404,0.6254347512596395,661.0,376541.6666666666,214554530.8333333,122285591228.90001,39660.0,22592500.0,12873271850.0,2401866.5,1368238670.4666667,146783970.0,255.0,254.0,255.0,255.0,255.0,78.72105263157894,77.37456140350878,70.38026315789473,52.0,51.0,46.0,32.0,62.0,0.0,0.0,0.0,0.0,0.0,55851.95873257518,-9088.987380981445,0.0,-1.1920928955078125e-07,22266.5,4457.121987160295,0.0,0.12783079488643298,-0.0008091179794175623,0.0,-1.0612225041808334e-14,0.05096230210953468,0.0003967810037689049,0.0,214.0,204.25999999999976,208.0,201.0,206.0,255.0,254.0,255.0,255.0,255.0,1.5789473684210527,0.18274297423887587,-90.0,0.0,76.1509523452608,70.78327619124204,72.79197546473853,70.90494412722666,70.62269380143113,5798.967543090182,5010.272188365651,5298.671692059095,5027.511101685134,4987.564879770699,60.0,569.7346801757812
12,No_Emisor,70.81180572509766,37.86416244506836,110.88254180602007,106.27973244147157,106.26198439241918,98.73204013377926,109.17137123745819,0.5347153918382321,1878.0,1069958.1666666665,609768504.1666666,347608121868.95,204127.66666666666,116222770.75,66191984687.049995,22783607.333333332,12965690161.483334,2606188875.9,255.0,254.0,255.0,255.0,255.0,106.27973244147157,106.26198439241918,98.73204013377926,131.0,124.0,125.0,115.0,129.0,0.0,0.0,0.0,0.0,0.0,178260.06832039356,-106267.90954589844,-75452.8882380724,-325799.8655801043,596118.3563483581,1524725.7070003152,154210.57518291473,0.050543218410470436,-0.0006952854923363297,-0.021393640459417555,-0.002131630526195063,0.169021253987474,0.009975915291828468,0.0010089628764477733,211.0,202.0,204.0,197.0,202.0,255.0,254.0,255.0,255.0,255.0,0.5652173913043478,0.3708833430913349,-9.0,81.39356231689453,76.1478186413782,70.87020882518316,72.9857748977311,72.3398891950185,69.73310559923713,5798.490283840225,5022.586498925068,5326.923337422277,5233.059568747553,4862.7060165143575,108.8475570678711,569.8610229492188
13,No_Emisor,80.48812866210938,57.479774475097656,121.4911484911485,113.52390852390852,114.98490098490099,109.53052353052352,113.93303093303093,0.7141397797481265,2840.0,1580154.8333333333,880546148.1666666,491438333045.55005,685148.6666666666,380916453.3333333,212109177127.81665,165923371.0,92176581354.85,40328461206.200005,255.0,255.0,255.0,255.0,255.0,113.52390852390852,114.98490098490099,109.53052353052352,132.0,121.0,123.0,117.0,121.0,0.0,0.0,0.0,0.0,0.0,1359775.8755770922,-4119363.849243164,-295158.35160404444,6280098.559969068,631576.8327073753,467993.40784430504,-5209378.0051651,0.16858955013602114,-0.009583724115126315,-0.036594717268900574,0.014610686071249445,0.07830500306330283,0.0010887894035632823,-0.012119648431172686,219.0,214.0,215.0,212.0,215.0,255.0,255.0,255.0,255.0,255.0,1.2882882882882882,0.4833906615925059,-67.0,23.430784225463867,64.07524330845474,63.16313603451629,64.15034141987302,64.87618701021707,62.91307134612886,4105.636805037674,3989.58175371481,4115.266304286275,4208.919640984657,3958.0545462031005,241.35145568847656,555.5595092773438
14,No_Emisor,45.297996520996094,27.003793716430664,79.60594679186228,64.15023474178403,67.47501304121022,59.06322378716745,63.755868544600936,0.5961366018453845,934.5,470540.5,236970028.75,119362667801.15001,194457.3333333333,97917268.20833333,49314326493.4,40581071.916666664,20435033331.8,8493055167.700001,255.0,255.0,255.0,255.0,255.0,64.15023474178403,67.47501304121022,59.06322378716745,66.0,50.0,52.0,44.0,50.0,0.0,0.0,0.0,0.0,0.0,42942.45759767294,5260.777786254883,3891.156077235937,17489.975018382072,117022.17122942209,-13428.898785077035,-41319.66171169281,0.04917317878869361,0.0001970614587894502,0.004455742036780941,0.0006551502708056838,0.13400146312113537,-0.0005030279726768415,-0.001547777371412105,179.0,164.35999999999967,169.0,163.0,165.0,255.0,255.0,255.0,255.0,255.0,0.6338028169014085,0.23658884660421545,3.0,92.96923065185547,58.3865347924832,49.24847379672185,53.7699404514518,50.20011044633989,50.12814744886994,3408.987445073851,2425.4121713063987,2891.2064961526726,2520.0510888247236,2512.831166655646,208.20526123046875,503.5249938964844
15,No_Emisor,39.973182678222656,23.58784294128418,42.06558704453441,42.869635627530364,42.179217273954116,39.92914979757085,44.542914979757086,0.5900916905006618,732.0,351360.0,168678510.66666666,80990367360.0,65148.0,31271040.0,15012387449.333334,5869962.666666666,2817582080.0,535205416.0,255.0,254.0,255.0,255.0,255.0,42.869635627530364,42.179217273954116,39.92914979757085,23.0,25.0,23.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,25710.666666656733,1.52587890625e-05,0.0,1.519918441772461e-06,71790.66666666605,2.980232238769531e-07,1.7881393432617188e-07,0.04798341744053408,1.0525491060505861e-12,0.0,1.048437586105076e-13,0.13398180497078527,2.055759972755051e-14,1.2334559836530306e-14,130.0,147.85999999999967,140.0,152.0,152.71999999999935,255.0,254.0,255.0,255.0,255.0,0.5846153846153846,0.2115998243559719,0.0,90.0,46.248787597190415,47.490011831477496,47.991187899306375,49.693312876294385,47.85837300626231,2138.950354210034,2255.301223753873,2303.1541159865305,2469.425344621285,2290.423866806537,89.0,480.0
16,No_Emisor,22.036014556884766,22.036014556884766,89.37396121883657,96.45775623268698,93.94806094182826,92.92797783933518,99.54224376731302,1.0,380.0,168340.0,74586133.33333333,33051857880.0,95000.0,42085000.0,18646533333.333332,23761513.333333332,10526350406.666666,5946135000.0,249.0,254.0,255.0,255.0,255.0,96.45775623268698,93.94806094182826,92.92797783933518,57.0,67.0,65.0,63.0,73.0,0.0,2.0,0.0,0.0,4.0,11513.333333328366,7.62939453125e-06,0.0,-2.9802322387695312e-08,11513.333333332092,-8.568167686462402e-08,9.5367431640625e-07,0.07973222530005794,2.710385605463768e-12,0.0,-1.0587443771342843e-14,0.07973222530008374,-3.043890084261067e-14,3.38798200682971e-13,202.0,211.0,211.0,218.0,209.41999999999985,249.0,252.0,255.0,255.0,251.0,1.0,0.14836797423887588,0.0,0.0,76.00680672309726,73.19287512406332,75.11430396186172,78.40928253996233,70.34321490416933,5777.034668242263,5357.196968926727,5642.158659674957,6148.015588431643,4948.1678830541505,250.0,443.0
17,No_Emisor,22.036014556884766,22.036014556884766,76.01385041551247,86.4376731301939,83.283702677747,84.21329639889197,89.62396121883657,1.0,380.0,157320.0,65141993.33333333,26978318280.0,93480.0,38700720.0,16024930360.0,23007593.333333332,9525143640.0,5665532520.0,247.0,254.0,255.0,255.0,255.0,86.4376731301939,83.283702677747,84.21329639889197,66.0,73.0,71.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,11513.333333328366,7.62939453125e-06,0.0,1.2218952178955078e-06,11513.333333332092,5.140900611877441e-07,9.5367431640625e-07,0.07973222530005794,2.710385605463768e-12,0.0,4.340851946250566e-13,0.07973222530008374,1.8263340505566406e-13,3.38798200682971e-13,190.41999999999985,198.41999999999985,195.0,199.41999999999985,198.0,247.0,254.0,255.0,255.0,255.0,1.0,0.14836797423887588,0.0,0.0,62.45591089237197,57.259586470608774,59.75498281129125,60.322197606161545,55.484698864925456,3900.740805395907,3278.660242785123,3570.6579707777123,3638.767524036801,3078.5518081314603,246.0,414.0
18,No_Emisor,23.656360626220703,22.772911071777344,33.751315789473686,30.791447368421053,30.681798245614036,25.326315789473686,32.96776315789474,0.9626548830396108,420.0,169680.0,68564269.0,27710912268.0,4786.0,1933544.0,781307034.5,69158.66666666666,27940101.333333332,1120561.0,254.0,255.0,255.0,255.0,255.0,30.791447368421053,30.681798245614036,25.326315789473686,12.0,14.0,13.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,13548.999999985099,7.62939453125e-06,-2.3283064365386963e-10,864.4190477888333,14621.057142857135,4.6566128730773926e-09,-739.3277097502723,0.07680839002259128,2.1104100565759685e-12,-1.3199016080151342e-15,0.00023911185141587985,0.08288581146744409,1.2880920755468557e-15,-0.00020450962751648608,141.0,129.8599999999999,134.92000000000007,128.7199999999998,132.0,254.0,255.0,255.0,255.0,255.0,0.95,0.1530518149882904,0.0,90.0,47.623261104933775,43.70254485556297,45.701259362217016,45.44985776256202,43.46057969127656,2267.974998268698,1909.9124268524934,2088.6051072926284,2065.689570637119,1888.8219871018002,11.400965690612793,404.0
19,No_Emisor,22.036014556884766,22.036014556884766,19.41343490304709,24.22091412742382,22.382502308402586,20.75623268698061,26.977839335180054,1.0,380.0,150860.0,59902933.33333333,23790606120.0,34960.0,13879120.0,5511069866.666667,3227833.333333333,1281449833.3333333,299079120.0,252.0,255.0,255.0,255.0,255.0,24.22091412742382,22.382502308402586,20.75623268698061,9.0,15.0,12.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,11513.333333328366,7.62939453125e-06,0.0,7.748603820800781e-07,11513.333333333023,4.377216100692749e-08,5.960464477539063e-08,0.07973222530005794,2.710385605463768e-12,0.0,2.752735380549139e-13,0.07973222530009018,1.5550308039159802e-14,2.1174887542685686e-14,71.0,76.0,75.0,71.41999999999985,81.0,252.0,254.0,255.0,255.0,255.0,1.0,0.14836797423887588,0.0,0.0,32.717693877068626,33.21134506031964,33.45313832682804,33.88748485988127,33.25584208001116,1070.447492633574,1102.9934407156177,1119.1124639138911,1148.361630128682,1105.9510324506412,92.0,397.0
20,No_Emisor,25.2635555267334,22.542753219604492,120.35679314565483,123.70195838433293,122.3688290493676,121.10832313341493,125.64137086903305,0.8923032704462439,446.0,170595.0,65270339.33333333,24979484947.5,113284.0,43331130.0,16578666190.666666,28788311.333333332,11011529085.0,7319432148.0,255.0,254.0,255.0,255.0,254.0,123.70195838433293,122.3688290493676,121.10832313341493,126.0,123.0,124.0,119.0,124.0,0.0,1.0,0.0,0.0,2.0,17751.833333328366,3.814697265625e-06,0.0,6.258487701416016e-07,14175.333333332092,4.7497451305389404e-07,9.5367431640625e-07,0.08924286298401518,9.080775339617535e-13,0.0,1.4898147041560019e-13,0.07126291164779149,1.1306629451183943e-13,2.2701938349043838e-13,215.0,224.0,226.0,233.0,221.01999999999998,255.0,253.0,255.0,255.0,252.0,1.131578947368421,0.15618047423887588,-90.0,0.0,70.62733836033615,72.07625438792674,73.2702797577087,79.70662173772331,68.90492377914175,4988.220923865411,5194.986446593128,5368.533895772898,6353.145548840506,4747.888521009335,254.0,382.5
21,No_Emisor,22.036014556884766,22.036014556884766,33.04986149584487,35.53739612188366,33.07940904893813,24.706371191135734,41.48199445983379,1.0,380.0,144020.0,54595093.33333333,20700267480.0,122360.0,46374440.0,17579620053.333332,39411433.33333333,14936933233.333334,12697896120.0,255.0,254.0,255.0,255.0,253.0,35.53739612188366,33.07940904893813,24.706371191135734,23.0,26.0,23.0,14.0,32.0,0.0,1.0,0.0,0.0,0.0,11513.333333328366,3.814697265625e-06,0.0,3.2782554626464844e-07,11513.333333328366,2.518296241760254e-06,5.7220458984375e-06,0.07973222530005794,1.355192802731884e-12,0.0,1.1646188148477128e-13,0.07973222530005794,8.946389986784703e-13,2.032789204097826e-12,91.0,92.0,92.0,78.41999999999985,101.0,255.0,253.0,255.0,255.0,253.0,1.0,0.14836797423887588,0.0,0.0,33.483700193544564,32.6365125791746,33.70032743294235,31.04965977511357,34.368365961267564,1121.1581786511765,1065.141953330622,1135.7120690875267,964.0813721503058,1181.1845788476148,322.0,379.0
22,No_Emisor,109.32202911376953,45.554962158203125,92.920245398773,89.83336908490283,90.48481988359289,88.73259256081342,89.80162169119224,0.4167043232503018,3575.0,1469332.6666666665,605670557.1666666,250397025042.40002,528551.3333333333,218562570.91666666,90641356879.7,79899598.5,33230505093.966667,12328510556.6,255.0,255.0,255.0,255.0,255.0,89.83336908490283,90.48481988359289,88.73259256081342,82.0,59.0,68.0,53.0,63.0,0.0,0.0,0.0,0.0,0.0,1771680.150225401,8798490.67803955,1326839.4266278744,4400914.073242277,1755119.6277078688,-738437.7054382563,-3344257.034122467,0.13862234047438218,0.01151378360546913,0.10381647428258589,0.005759075523265278,0.13732658830909042,-0.000966326186803402,-0.004376324669873224,205.0,215.0,217.0,224.0,213.0,255.0,255.0,255.0,255.0,255.0,1.1398601398601398,0.5895821135831382,46.0,135.8546905517578,73.90022491414463,77.43070643765819,77.65068010824959,81.92569434415554,76.85280326629062,5461.243242361162,5995.514299434801,6029.628121273708,6711.819393772,5906.353369887171,147.38743591308594,410.3808898925781
23,No_Emisor,22.036014556884766,22.036014556884766,76.00969529085873,60.29709141274238,64.14589104339797,57.98753462603878,58.4404432132964,1.0,380.0,137180.0,49533493.33333333,17889903720.0,18620.0,6721820.0,2427141173.3333335,923893.3333333333,333525493.3333333,46399080.0,240.0,253.0,255.0,255.0,255.0,60.29709141274238,64.14589104339797,57.98753462603878,76.0,22.0,26.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,11513.333333328366,3.814697265625e-06,0.0,4.023313522338867e-07,11513.333333333256,8.381903171539307e-09,1.4901161193847656e-08,0.07973222530005794,1.355192802731884e-12,0.0,1.4293049091312839e-13,0.07973222530009179,2.9777185606901745e-15,5.293721885671422e-15,183.0,188.0,188.0,192.41999999999985,187.0,240.0,253.0,255.0,255.0,255.0,1.0,0.14836797423887588,0.0,0.0,65.24815120477533,66.00587330003047,67.66892578784471,69.21178593822367,66.92107787173988,4257.321235641224,4356.775310099676,4579.083517280835,4790.271312758497,4478.4306635154735,49.0,361.0
